brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
VINFAST,LIMO GREEN,,2026,MPV,Điện,Tự động,,7,,654590000,,Trong nước,,Tp Hồ Chí Minh,09-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/130441612.htm?ad_delivery=true&event_source=ad_list
MERCEDES BENZ,GLC,,2019,,Xăng,Tự động,,,,939000000,68000,,,Tp Hồ Chí Minh,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/132674938.htm
CHEVROLET,SPARK,Van 1.0 AT,2014,Van/Minibus,Xăng,Số sàn,,2,,60000000,140000,,,Bà Rịa - Vũng Tàu,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thi-xa-phu-my-ba-ria-vung-tau/132997604.htm
HYUNDAI,CUSTIN,,2025,MPV,Xăng,Tự động,,7,,879000000,6000,Trong nước,,Tp Hồ Chí Minh,16-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132434127.htm
TOYOTA,COROLLA CROSS,,2026,SUV,Xăng,Tự động,,5,,787000000,,Nhập khẩu,,Tp Hồ Chí Minh,10-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/132905864.htm
MITSUBISHI,ATTRAGE,1.2L MT,2019,Sedan,Xăng,Số sàn,1.2,5,FWD,162000000,7760,,,Thừa Thiên Huế,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-phu-vang-thua-thien-hue/132997593.htm
MITSUBISHI,XPANDER,Premium 1.5 AT,2022,SUV,Xăng,Tự động,,7,,459000000,85089,,,Hà Nội,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-hoang-mai-ha-noi/132790397.htm
TOYOTA,SIENNA,,2013,,Xăng,Tự động,,,,645000000,68000,Nhập khẩu,,Tp Hồ Chí Minh,16-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132020887.htm
FORD,RANGER,XLS 2.2L 4x2 AT,2021,Bán tải,Dầu,Tự động,,5,,485000000,98000,Trong nước,,Tp Hồ Chí Minh,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/132778522.htm
TOYOTA,INNOVA,2.0E,2020,MPV,Xăng,Số sàn,,8,,420000000,108000,Trong nước,,Tp Hồ Chí Minh,16-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/131841060.htm
VINFAST,LUX SA2.0,Premium 2.0 AT,2020,SUV,Xăng,Tự động,,7,,625000000,70000,Trong nước,,Hà Nội,12-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-thanh-xuan-ha-noi/131744641.htm
TOYOTA,FORTUNER,,2026,SUV,Xăng,Tự động,,7,,1255000000,,Nhập khẩu,,Tp Hồ Chí Minh,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/132997523.htm
TOYOTA,INNOVA,2.0E,2019,MPV,Xăng,Số sàn,2,7,RWD,397000000,78000,,,Tp Hồ Chí Minh,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/132997464.htm
TOYOTA,INNOVA CROSS,,2026,MPV,Xăng,Tự động,,8,,710000000,,Nhập khẩu,,Tp Hồ Chí Minh,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/132997447.htm
FORD,RANGER,XLS 2.0L 4x2 AT,2025,Bán tải,Dầu,Tự động,,5,,610000000,15500,Nhập khẩu,,Bình Dương,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thuan-an-binh-duong/132997905.htm
VINFAST,VF8,,2026,SUV,Điện,Tự động,,5,,999000000,,Trong nước,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/133009616.htm
FORD,FIESTA,,2016,,Xăng,Tự động,,,,265000000,80000,Trong nước,,Đà Nẵng,27-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-thanh-khe-da-nang/132631374.htm
FORD,TRANSIT,,2019,Van/Minibus,Dầu,Số sàn,,,,415000000,110000,,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/133003288.htm
TOYOTA,FORTUNER,,2020,,Dầu,Tự động,,7,,700000000,150000,,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/133004811.htm
SUZUKI,SWIFT,,2022,Sedan,Xăng,Tự động,,5,,455000000,40000,Nhập khẩu,,Tp Hồ Chí Minh,17-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132454439.htm?ad_delivery=true&event_source=ad_list
MITSUBISHI,PAJERO SPORT,D 4x2 MT,2016,SUV,Dầu,Số sàn,2.5,7,2WD,355000000,120000,Trong nước,,Hà Nội,26-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/132614321.htm
KIA,CERATO,1.6 MT,2016,Sedan,Xăng,Số sàn,1.6,,FWD,255000000,123456,,,Đắk Lắk,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-buon-ma-thuot-dak-lak/133018463.htm
TOYOTA,YARIS CROSS,,2023,SUV,Xăng,Tự động,,5,,590000000,17000,Nhập khẩu,,Tp Hồ Chí Minh,16-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/133018456.htm
VINFAST,LIMO GREEN,,2026,MPV,Điện,Tự động,,7,,654590000,,Trong nước,,Tp Hồ Chí Minh,09-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/130441612.htm?ad_delivery=true&event_source=ad_list
MERCEDES BENZ,C CLASS,C300 AMG,2019,Sedan,Xăng,Tự động,,5,,889000000,62000,Trong nước,,Tp Hồ Chí Minh,17-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/132118612.htm
